location_id,management_professional_and_related,service,sales_and_office,farming_fishing_and_forestry,construction_extraction_maintenance_and_repair,production_transportation_and_material_moving,median_earnings_2010,unemployment
4161,28.7,16.5,25.85,0.45,11.6,16.85,26622.36953,0.093
4162,29.6,15.65,21.95,0.75,10.95,21.15,29047.08445,0.118
4163,28.25,15.95,27.45,0.55,21.25,6.65,31313.35302,0.076
4164,30.75,18.95,25.55,0.1,7.75,17,25955.94191,0.08
4165,22.4,17.9,24.5,2.85,9.75,22.55,19088.79715,0.096
4166,27.7,17.6,27.1,0.35,11.5,15.8,29159.6873,0.12
4167,41.6,14.95,27,0.1,7.65,8.75,37536.54667,0.073
4168,26.45,19.2,22.6,0.8,12.85,18.1,23999.14857,0.074
4169,22.1,17.1,20.4,2.2,12.1,26.2,20350.60191,0.114
4170,30.2,17.8,26.2,0.75,10.6,14.5,26806.03905,0.072
4171,25.25,21.65,23.05,4.35,11.4,14.25,23501.69842,0.139
4172,27.15,21.15,22.15,0.7,8,20.95,17078.31619,0.055
4173,27.7,9.25,20.95,2.4,20.2,19.45,29162.19175,0.105
4174,25.8,15.5,31.3,0.9,9.9,16.55,23571.0508,0.071
4175,29.95,22.4,25.7,0.7,11.5,9.85,26112.52159,0.116
4176,22.75,13.95,26.8,0.8,20.15,15.55,31033.48127,0.077
4177,32.55,22.7,20.5,2.4,10.35,11.5,25095.10032,0.037
4178,26.05,15.1,21.85,0.6,8.95,27.45,27308.28508,0.067
4179,38.3,19.95,22.6,2.55,8.05,8.5,15180.80476,0.064
4180,33.35,17.1,28.1,0.2,7.25,14,27733.88508,0.091
4181,24.75,20.1,19.35,0.3,13.6,22,20577.08222,0.071
4182,21.2,20.45,23,0.5,17,17.85,18008.17873,0.077
4183,36.5,14.5,25.9,0.25,11.5,11.35,32735.04349,0.06
4184,26.15,16.2,22.4,1.1,10.8,23.4,27998.00159,0.08
4185,27.4,15.5,20.75,1.15,14.2,21.05,23325.0381,0.076
4186,28.95,21.2,26.15,0.7,10.75,12.25,25844.01429,0.101
4187,28.5,19.95,18.05,0.65,10.8,22.05,26482.95461,0.092
4188,23.3,14.95,23.85,0.4,9.3,28.25,22395.11905,0.099
4189,31.5,16.5,26.4,0.2,11.8,13.65,29461.4527,0.078
4190,26.4,15.25,20.85,3.15,10.1,24.2,24879.94857,0.062
4191,30.25,17,24.1,1.4,9.05,18.3,27864.56222,0.044
4192,38.2,14.05,22.65,0.4,12.5,12.15,36347.44159,0.07
4193,28,20.45,21.25,1.8,11.95,16.5,26091.07016,0.077
4194,29.65,18.05,25.9,0.3,7.6,18.55,25623.14508,0.078
4195,29.8,17.6,22.2,3.25,9,18.25,21634.21397,0.058
4196,32.05,21.95,24.45,0.65,9.85,10.95,21634.04476,0.055
4197,29.05,16.2,19.15,1.2,8.75,25.6,25361.65461,0.088
4198,33.45,18.5,30.55,0.15,6.1,11.2,26971.12857,0.059
4199,28.8,16.25,22.5,1.25,11.25,20,30910.98667,0.071
4200,41.45,18.2,24.95,0.3,6.6,8.4,19633.54032,0.053
4201,25.2,20.75,26.35,5.2,13.05,9.5,20192.15365,0.093
4202,25.9,20.55,29.3,0.45,10.65,13.1,22541.8308,0.109
4203,32.7,15.7,24.95,1.05,12.5,13.1,32174.18953,0.046
4204,31.8,20.95,25.85,0.4,10.45,10.55,22991.28381,0.053
4205,26.1,22.25,26.2,2.9,11.45,11.1,20826.53207,0.066
4206,38.65,14.5,24.1,0.9,12.45,9.45,36008.81397,0.072
4207,34.15,13,25.9,0.8,8.95,17.2,34882.14159,0.064
4208,26.4,14.5,20.65,0.7,11.95,25.9,24757.72064,0.102
4209,30.25,17.6,22.7,0.2,14.15,15,25951.67175,0.076
4210,30,19,25.35,0.65,7.65,17.35,25274.77397,0.062
4211,26.85,12.95,25.75,1.35,13.3,19.8,28723.96953,0.065
4212,25.7,17.75,24.9,2.2,17.8,11.7,25920.12127,0.105
4213,23.9,16.7,23.65,1,17.15,17.55,22324.00254,0.088
4214,28.25,18.15,25.75,0.75,10.9,16.15,20558.96603,0.077
4215,27.6,16.15,26.95,0.2,14.7,14.35,31308.77397,0.092
4216,27.85,16.45,21.5,0.6,10.05,23.5,22904.97048,0.079
4217,45.45,17.9,23.1,0,7.95,5.5,36726.82508,0.051
4218,35.55,15.65,25.9,0.5,11.3,11.05,36464.12286,0.078
4219,27.15,19.4,19.75,1.65,12.7,19.3,24679.96794,0.095
4220,39.6,17.2,25.4,0.2,9,8.6,29588.02191,0.093
4221,21.85,34.9,18,0.2,11.7,13.45,11725.97492,0.07
4222,27.15,14.4,19.7,2.4,15.1,21.25,24869.03746,0.07
4223,24.3,15.05,23.55,1.05,11.8,24.25,22956.8473,0.08
4224,33.7,11.3,22.05,1.5,8.9,22.5,33142.30095,0.054
4225,42.45,15.85,24.85,0.35,5.65,10.85,31431.68286,0.058
4226,26.25,14.1,23.15,2.45,9.4,24.55,21676.94762,0.07
4227,31.25,19.95,28.8,0.2,10.4,9.4,23515.08413,0.084
4228,24.1,21.5,22.35,0.9,8.9,22.2,22330.8727,0.109
4229,38.55,13.4,24.85,0.15,11.5,11.6,31500.5108,0.058
4230,30.45,17.35,22.3,1.4,9.8,18.8,26050.40762,0.084
4231,26.3,21.3,24.95,0.65,16.95,9.85,26074.79397,0.086
4232,22.35,17.05,24.15,2.05,11.15,23.3,23963.2981,0.11
4233,26.35,19.35,23.85,0.7,9.8,19.95,24096.69334,0.064
4234,24.4,21.8,22.8,1.85,14.05,15.15,20852.58349,0.082
4235,27.4,20.3,24.15,2.1,9.3,16.75,21371.25207,0.087
4236,43.7,11.95,26.45,0.95,7.9,9.05,36673.19048,0.043
