location_id,total_votes,republicans_2016,democrats_2016,green_2016,libertarians_2016
4101,9867,58.19397993,40.52903618,0.192561062,0.760109456
4102,27768,66.85033132,28.6624892,0.7346586,3.172716796
4103,21315,80.6943467,15.6462585,0.506685433,2.589725545
4104,11736,61.24744376,34.93524199,0.903203817,2.436946149
4105,21316,50.58641396,40.75811597,1.97035091,3.659223119
4106,50115,37.93275466,56.88915494,1.153347301,3.924972563
4107,59620,57.54948004,38.01744381,0.825226434,3.071117075
4108,139981,35.89915774,60.92755445,0.713668284,2.007415292
4109,94572,35.87531193,62.03633211,0.517066362,1.571289599
4110,376140,35.99856436,58.49603871,1.226936779,4.278460148
4111,45577,28.58898128,62.38014788,3.352568181,5.678302653
4112,7268,56.43918547,42.77655476,0.08255366,0.701706109
4113,2707,40.9678611,49.68599926,4.506834134,3.140007388
4114,23491,78.91532928,17.92601422,0.64279937,2.039078796
4115,775450,29.51937585,66.77954736,1.001225095,2.42272229
4116,19524,67.03032166,27.65314485,0.686334767,3.539233764
4117,9315,66.66666667,28.98550725,0.794417606,2.941492217
4118,4252,45.03762935,52.37535278,0.094073377,1.03480715
4119,4176,41.09195402,56.27394636,0.359195402,0.838122605
4120,18483,72.94811448,23.12936212,0.503165071,2.461721582
4121,15929,55.29537322,37.92454015,1.060958001,3.207985435
4122,200220,39.07202078,55.09589452,1.705623814,4.126460893
4123,43000,29.70465116,66.19069767,0.790697674,2.544186047
4124,70376,20.1744913,70.98442651,2.019154257,6.128509719
4125,12130,67.32893652,27.2135202,1.063478978,4.394064303
4126,92780,63.44255227,32.0165984,1.233024359,3.307824962
4127,51467,70.5520042,24.93248101,0.592612742,3.481842734
4128,491520,48.57299805,47.47049967,0.934855143,2.767537435
4129,6870,71.13537118,16.98689956,0.596797671,3.013100437
4130,193500,42.42222222,51.36382429,1.465116279,4.748837209
4131,65991,48.38993196,45.51984362,1.910866633,4.179357791
4132,22087,60.40204645,35.0613483,0.796848825,2.644089283
4133,44122,58.63288156,35.38824169,1.500385295,4.478491456
4134,38392,77.51875391,18.41529485,0.546988956,2.859970827
4135,14658,58.02292264,36.02810752,1.289398281,4.100150089
4136,10333,74.81854253,22.48137037,0.367753799,1.751669409
4137,15818,83.58831711,15.03982804,0.227588823,1.144266026
4138,35730,76.53792331,20.61852785,0.464595578,1.891967534
4139,29618,66.65541225,29.85009116,0.678641367,2.265514214
4140,10723,31.14799963,59.83400168,1.641331717,3.954117318
4141,26736,49.62971275,42.55685218,1.90380012,4.982046679
4142,17195,62.22157604,28.07792963,1.180575749,5.111951149
4143,7608,78.79863302,19.20347003,0.170872766,1.827024185
