location_id,white,black,hispanic,asian,american_ndian,other
3120,91.15,1.85,5.3,0.5,0.35,0.8
3121,61.8,31.55,1.65,0.3,3.45,1.15
3122,92.45,4.4,1.65,0.1,0.6,0.8
3123,95.85,0.55,1.25,1,0.25,1.1
3124,46.75,20.8,26.1,4.5,0.1,1.7
3125,62.25,18.25,18.15,0.25,0.25,0.95
3126,84.35,0.85,10.9,0.65,0.9,2.35
3127,66.35,13.75,16.4,1.55,0.3,1.75
3128,47.5,50.05,1.1,0.55,0.25,0.55
3129,89.55,7,1.25,0.7,0.15,1.4
3130,83.45,6.9,3.95,3.55,0.15,2
3131,50.6,19.2,19.4,7.2,0.25,3.35
3132,47.35,39.95,6.35,2.65,0.35,3.35
3133,85.75,10.9,1.35,0.25,0.2,1.6
3134,17.35,0.15,81.35,0.4,0.35,0.45
3135,94.05,1,2.25,1.05,0.3,1.35
3136,90,4.35,3.1,0.9,0.45,1.25
3137,68.95,11.6,13.95,3.4,0.15,1.95
3138,65.1,31.45,1.7,0.4,0.25,1.05
3139,79.8,15.25,1.6,0.95,0.15,2.25
3140,90.45,0.9,3.15,2.75,1.45,1.25
3141,88.55,8.1,1.15,0.5,0.2,1.5
3142,54.8,1.1,13,1.25,27.45,2.35
3143,88.95,7.55,2.2,0.15,0.35,0.8
3144,94.75,1.95,2.1,0.3,0.1,0.75
3145,93.2,2.85,1.2,0.35,0.35,2.1
3146,80.45,2.5,5.55,4.6,1.35,5.5
3147,93.45,3.6,0.9,0.4,0.05,1.6
3148,87.35,1.25,5.65,1.35,1.65,2.7
3149,60.7,35.55,1.75,0.85,0.15,0.95
3150,45.05,53.35,0.75,0.05,0.25,0.6
3151,96.5,0.75,1.15,0.4,0.1,1.1
3152,16.4,77.7,3.4,0.9,0.2,1.4
3153,71.8,13.65,7.8,1.8,1.25,3.65
3154,93.25,0.3,1,0.4,3.45,1.6
3155,96.2,0.95,1.25,0.35,0.3,0.9
3156,86.45,3.85,3.15,3.8,0.6,2.15
3157,75.5,11.55,9.85,1.3,0.35,1.4
3158,64.1,29.5,3,1.15,0.2,2
3159,95.05,1.3,1.5,1,0.1,1
3160,87.1,8.75,2.15,0.45,0.05,1.45
3161,89.2,4.4,3.85,0.3,0.3,1.95
3162,90.3,5.25,1.65,0.25,0.3,2.3
3163,90.05,4.1,3.3,0.45,0.45,1.6
3164,59.75,3.7,33.85,1.2,0.35,1.25
3165,89.2,6.2,2.35,0.7,0.25,1.35
3166,93.3,2.2,2.8,0.25,0.25,1.15
3167,27.05,70.9,1.15,0.3,0.15,0.4
3168,94.8,0.95,2.2,0.2,0.45,1.4
3169,80.9,0.55,16.55,0.2,0.7,1.05
3170,13.5,2.55,81.75,1,0.3,0.8
3171,77.75,7.1,12.45,0.6,0.2,1.85
3172,96.6,0.85,0.8,0.6,0.25,0.85
3173,77.15,15.45,4.9,0.35,0.6,1.6
3174,94.25,0.1,1.25,0.55,1.65,2.15
3175,79.75,6.05,10.65,1.35,0.3,1.9
3176,94.25,0.4,3.9,0.25,0.35,0.85
3177,59.25,35.65,2.85,1.05,0.25,0.95
3178,93.8,3.4,0.85,0.3,0.2,1.4
3179,89.5,1.35,1.4,0.55,5.4,1.9
3180,74.25,14.1,6.6,3,0.2,1.8
3181,58.95,36.95,2.3,0.65,0.1,1.05
3182,96.55,0.4,0.95,0.5,0.4,1.25
3183,90.4,2.95,2.4,2.65,0.1,1.5
3184,64.6,25.35,4.9,2.2,0.4,2.55
3185,85,1.9,6.65,2.6,2.25,1.65
3186,62.45,35.75,1.05,0.2,0.05,0.55
3187,75.85,3,14.3,2.2,1.2,3.5
3188,33.45,3.45,53.5,6.95,0.45,2.15
3189,65.25,17.7,15.75,0.25,0.15,0.95
3190,65.55,18.85,6.2,5.7,0.25,3.45
3191,69.65,0.3,26.85,0.7,0.75,1.8
3192,74.8,21.5,1.7,0.1,0.3,1.5
3193,59.85,13.85,21.65,2.8,0.35,1.5
3194,64.7,28.6,2.45,2.2,0.2,1.85
3195,36.55,0.25,55.6,0.4,5.55,1.6
3196,69.4,9.1,16.95,2.3,0.2,2
3197,93.45,0.95,2,2.2,0.25,1.05
3198,35.6,12.4,21.9,25.15,0.3,4.7
3199,78.5,0.15,20.25,0.1,0.5,0.5
3200,89.15,1.05,7.7,0.3,0.6,1.2
3201,48.5,46.55,2.3,0.95,0.3,1.3
3202,97.75,0.35,0.6,0.35,0.2,0.85
3203,70,18.6,3.3,1,5.25,1.8
3204,88.9,1.3,7.95,0.5,0.1,1.2
3205,88.45,6.8,2.2,0.2,0.35,2
3206,95.3,1.85,1.15,0.25,0.4,1.1
3207,87.35,4.2,2.95,3.35,0.2,1.95
3208,56.75,32.65,6.2,1.8,0.55,2.1
3209,93.8,3.45,0.95,0.4,0.15,1.3
3210,48.35,2.65,40.4,4.9,0.65,3
3211,70.45,1.95,21.5,4.8,0.1,1.2
3212,65.4,30.75,1.65,0.9,0.35,1.05
3213,84,5.35,7.8,0.6,0.35,1.9
3214,49.1,5.85,42.85,0.95,0.1,1.15
3215,37.2,56.95,4.65,0.55,0.15,0.55
3216,73.4,20.2,3.3,0.5,0.2,2.45
3217,81.9,13.25,3.05,0.3,0.15,1.4
3218,78.55,15.35,3.9,0.8,0.05,1.35
3219,88.95,6.35,1.7,1.1,0.2,1.7
3220,87,2.9,7.2,0.65,0.35,1.9
3221,93.85,2.2,1.8,0.35,0.2,1.55
3222,74.35,23.25,1.5,0.25,0.2,0.5
3223,91.85,4,1.1,1.25,0.15,1.6
3224,94.4,2.9,0.75,0.25,1.2,0.45
3225,80.25,1.4,15.7,1.1,0.4,1.15
3226,86.25,3.15,6.65,2.5,0.05,1.25
3227,88.3,7.3,1.4,0.75,0.2,2
3228,91.5,1.4,2.35,0.15,1.3,3.3
3229,95.45,0.7,2.35,0.25,0.1,1.2
3230,76.8,18.85,2,0.6,0.4,1.5
3231,77.8,19.45,1.45,0.15,0.4,0.7
3232,86.35,1.3,10.15,0.75,0.2,1.25
3233,97,1.1,0.55,0.45,0.05,0.8
3234,46.2,49.95,2.55,0.35,0.2,0.8
3235,67.4,17.8,12.95,0.35,0.3,1.25
3236,90.55,6.05,1.75,0.2,0.2,1.25
3237,92.45,3.75,1.35,0.35,0.35,1.75
3238,95.45,0.45,2.2,0.3,0.4,1.15
3239,93.75,3.2,1,0.55,0.1,1.35
3240,93.35,0.85,1.65,2.25,0.2,1.65
3241,58.8,0.85,36.95,0.95,0.9,1.55
3242,75.2,1.55,18.95,1.4,0.8,2.1
3243,79.15,15.9,2.45,0.65,0.15,1.6
3244,98.2,0.25,0.6,0.35,0.1,0.55
3245,77.8,1.25,14.75,2.45,1.6,2.15
3246,92.8,1.25,1.1,0.9,2.05,1.85
3247,92.25,2.45,1.25,2,0.2,1.85
3248,91.75,1.1,4.05,1.55,0.15,1.4
3249,90.3,3.9,3.45,0.7,0.1,1.55
3250,58.95,37.95,1.45,0.35,0.2,1.05
3251,85.7,5.75,4.85,1.95,0.2,1.5
3252,66.4,6.55,19.25,5.9,0.15,1.75
3253,74.2,17.15,3.3,2.75,0.15,2.4
3254,56.5,40.15,1.4,0.9,0.25,0.85
3255,36.75,0.65,61.2,0.3,0.15,0.95
3256,86.45,2.9,5.5,1.8,0.15,3.2
3257,36.6,7.1,49.65,3.35,0.95,2.3
3258,31.25,0.1,4.7,0.55,60.9,2.55
3259,66.6,5.8,25.55,1.05,0.2,0.85
3260,87,1.05,6.85,2.35,0.5,2.3
3261,96.75,0.65,1.15,0.3,0.25,0.9
3262,79.65,3.15,14.75,0.5,0.65,1.35
3263,41.2,50.65,2.2,0.3,3.55,2.1
3264,44.45,4.35,49.15,0.25,0.65,1.1
3265,71.1,24,2.25,0.6,0.75,1.25
3266,76.55,21.35,0.7,0.25,0.1,1
3267,40.7,57.3,0.6,0.2,0.1,1.1
3268,71.75,8.8,11.7,3.85,0.75,3.15
3269,73.9,2.8,14.55,5.5,0.2,3
3270,95.65,2.4,0.45,0.1,0.05,1.25
3271,79.2,17.2,1.95,0.15,0.2,1.3
3272,56.8,39.9,1.3,0.95,0.5,0.55
3273,91.2,1.1,3.5,1.35,1.3,1.6
3274,94.25,2.8,0.65,0.3,0.25,1.7
3275,59,37.4,1.3,0.25,0.45,1.6
3276,95.7,1.75,0.9,0.4,0.25,1
3277,90.5,0.2,8.45,0.35,0.15,0.35
3278,52.15,2.95,42.95,0.65,0.3,1.1
3279,85.2,6.1,4.4,0.8,1,2.4
3280,87.9,2.25,2.55,5.8,0.1,1.45
3281,72.45,7.45,17.25,1.3,0.2,1.3
3282,95.9,0.35,1.85,0.25,0.6,1.05
3283,96.3,0.95,0.65,0.6,0.15,1.45
3284,92.25,3.55,2.5,0.4,0.15,1.15
3285,73.25,11.15,10.35,2.45,0.4,2.4
3286,94.25,0.15,1.95,0.25,1.25,2.15
3287,32.55,11.65,41.4,12.15,0.1,2.05
3288,92.35,5.25,1.05,0.35,0.2,0.75
3289,90.7,3.9,2.75,0.7,0.2,1.75
3290,81.65,7.05,8.55,0.4,0.75,1.65
3291,71.1,18.25,7.55,1.05,0.3,1.65
3292,61.8,16.15,18.1,2.25,0.2,1.55
3293,93.2,0.9,1.1,0.75,1.8,2.2
3294,84.7,10.45,1.75,0.7,0.2,2.15
3295,91.15,3.65,1.8,0.9,0.2,2.3
3296,50.3,9.85,20.65,13.6,0.65,4.9
3297,96.1,0.35,1.3,0.9,0.35,0.9
3298,36.15,32.5,19.7,9.75,0.2,1.75
3299,72,21.25,3.2,0.55,0.55,2.5
3300,97.8,0.2,0.9,0.25,0.25,0.6
